"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00025333","SITKA AIRPORT, AK US","1983-09-01",,"62","55"
"USW00025333","SITKA AIRPORT, AK US","1983-09-02",,"59","55"
"USW00025333","SITKA AIRPORT, AK US","1983-09-03",,"57","54"
"USW00025333","SITKA AIRPORT, AK US","1983-09-04",,"55","50"
"USW00025333","SITKA AIRPORT, AK US","1983-09-05",,"57","43"
"USW00025333","SITKA AIRPORT, AK US","1983-09-06",,"60","42"
"USW00025333","SITKA AIRPORT, AK US","1983-09-07",,"61","40"
"USW00025333","SITKA AIRPORT, AK US","1983-09-08",,"59","41"
"USW00025333","SITKA AIRPORT, AK US","1983-09-09",,"59","42"
"USW00025333","SITKA AIRPORT, AK US","1983-09-10",,"61","48"
"USW00025333","SITKA AIRPORT, AK US","1983-09-11",,"58","49"
"USW00025333","SITKA AIRPORT, AK US","1983-09-12",,"59","46"
"USW00025333","SITKA AIRPORT, AK US","1983-09-13",,"59","43"
"USW00025333","SITKA AIRPORT, AK US","1983-09-14",,"58","47"
"USW00025333","SITKA AIRPORT, AK US","1983-09-15",,"49","42"
"USW00025333","SITKA AIRPORT, AK US","1983-09-16",,"53","39"
"USW00025333","SITKA AIRPORT, AK US","1983-09-17",,"57","37"
"USW00025333","SITKA AIRPORT, AK US","1983-09-18",,"57","39"
"USW00025333","SITKA AIRPORT, AK US","1983-09-19",,"54","47"
"USW00025333","SITKA AIRPORT, AK US","1983-09-20",,"57","53"
"USW00025333","SITKA AIRPORT, AK US","1983-09-21",,"62","48"
"USW00025333","SITKA AIRPORT, AK US","1983-09-22",,"57","50"
"USW00025333","SITKA AIRPORT, AK US","1983-09-23",,"53","48"
"USW00025333","SITKA AIRPORT, AK US","1983-09-24",,"52","43"
"USW00025333","SITKA AIRPORT, AK US","1983-09-25",,"48","38"
"USW00025333","SITKA AIRPORT, AK US","1983-09-26",,"47","33"
"USW00025333","SITKA AIRPORT, AK US","1983-09-27",,"48","33"
"USW00025333","SITKA AIRPORT, AK US","1983-09-28",,"48","44"
"USW00025333","SITKA AIRPORT, AK US","1983-09-29",,"55","45"
"USW00025333","SITKA AIRPORT, AK US","1983-09-30",,"55","48"
"USW00025333","SITKA AIRPORT, AK US","1983-10-01",,"56","48"
"USW00025333","SITKA AIRPORT, AK US","1983-10-02",,"53","47"
"USW00025333","SITKA AIRPORT, AK US","1983-10-03",,"52","43"
"USW00025333","SITKA AIRPORT, AK US","1983-10-04",,"51","39"
"USW00025333","SITKA AIRPORT, AK US","1983-10-05",,"52","43"
"USW00025333","SITKA AIRPORT, AK US","1983-10-06",,"49","44"
"USW00025333","SITKA AIRPORT, AK US","1983-10-07",,"50","44"
"USW00025333","SITKA AIRPORT, AK US","1983-10-08",,"48","39"
"USW00025333","SITKA AIRPORT, AK US","1983-10-09",,"46","33"
"USW00025333","SITKA AIRPORT, AK US","1983-10-10",,"50","43"
"USW00025333","SITKA AIRPORT, AK US","1983-10-11",,"51","48"
"USW00025333","SITKA AIRPORT, AK US","1983-10-12",,"50","42"
"USW00025333","SITKA AIRPORT, AK US","1983-10-13",,"48","39"
"USW00025333","SITKA AIRPORT, AK US","1983-10-14",,"50","36"
"USW00025333","SITKA AIRPORT, AK US","1983-10-15",,"50","34"
"USW00025333","SITKA AIRPORT, AK US","1983-10-16",,"48","44"
"USW00025333","SITKA AIRPORT, AK US","1983-10-17",,"51","45"
"USW00025333","SITKA AIRPORT, AK US","1983-10-18",,"50","45"
"USW00025333","SITKA AIRPORT, AK US","1983-10-19",,"49","44"
"USW00025333","SITKA AIRPORT, AK US","1983-10-20",,"50","44"
"USW00025333","SITKA AIRPORT, AK US","1983-10-21",,"52","44"
"USW00025333","SITKA AIRPORT, AK US","1983-10-22",,"45","39"
"USW00025333","SITKA AIRPORT, AK US","1983-10-23",,"47","37"
"USW00025333","SITKA AIRPORT, AK US","1983-10-24",,"49","43"
"USW00025333","SITKA AIRPORT, AK US","1983-10-25",,"49","41"
"USW00025333","SITKA AIRPORT, AK US","1983-10-26",,"43","37"
"USW00025333","SITKA AIRPORT, AK US","1983-10-27",,"48","37"
"USW00025333","SITKA AIRPORT, AK US","1983-10-28",,"51","40"
"USW00025333","SITKA AIRPORT, AK US","1983-10-29",,"51","35"
"USW00025333","SITKA AIRPORT, AK US","1983-10-30",,"48","37"
"USW00025333","SITKA AIRPORT, AK US","1983-10-31",,"49","34"
"USW00025333","SITKA AIRPORT, AK US","1983-11-01",,"50","36"
"USW00025333","SITKA AIRPORT, AK US","1983-11-02",,"49","43"
"USW00025333","SITKA AIRPORT, AK US","1983-11-03",,"50","43"
"USW00025333","SITKA AIRPORT, AK US","1983-11-04",,"43","36"
"USW00025333","SITKA AIRPORT, AK US","1983-11-05",,"43","36"
"USW00025333","SITKA AIRPORT, AK US","1983-11-06",,"43","30"
"USW00025333","SITKA AIRPORT, AK US","1983-11-07",,"39","28"
"USW00025333","SITKA AIRPORT, AK US","1983-11-08",,"43","29"
